序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,年度股息率(%) 2025.12.31,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
43,600582,天地科技,SH,5.74,0.17,5.15,9.71,0.010,5.75,5.71,0.38,0.75,1582.33万,9070.63万,2.43,0.9277,237.55亿,237.55亿,1000000569,False
44,000429,粤高速Ａ,SZ,12.85,0.23,5.13,14.91,0.030,12.93,12.78,0.28,0.68,368.80万,4744.71万,3.73,2.4169,268.67亿,167.48亿,1000008895,False
45,000921,海信家电,SZ,22.87,1.42,5.10,9.94,0.320,22.95,22.42,0.94,1.09,866.04万,1.97亿,2.48,1.8130,316.72亿,209.98亿,1000001218,False
46,601717,中创智领,SH,20.20,-0.49,5.09,8.40,-0.100,20.36,19.99,0.87,0.80,1335.15万,2.69亿,2.10,1.4911,360.65亿,311.52亿,1000008092,False
47,600987,航民股份,SH,7.55,-0.53,5.08,10.49,-0.040,7.60,7.50,0.67,0.61,686.54万,5175.04万,2.62,1.1507,77.07亿,77.07亿,1000002027,False
48,002322,理工能科,SZ,14.47,2.92,5.08,24.63,0.410,14.56,13.97,2.40,1.39,842.83万,1.21亿,6.16,1.8787,52.89亿,50.85亿,1000007921,False
49,601166,兴业银行,SH,18.61,-0.48,5.06,5.08,-0.090,18.79,18.57,0.26,1.05,5586.20万,10.42亿,1.27,0.4879,3938.41亿,3938.41亿,1000001206,False
50,600461,洪城环境,SH,9.82,-1.41,5.04,10.57,-0.140,9.95,9.66,1.41,2.25,1813.05万,1.78亿,2.64,1.2723,126.10亿,126.10亿,1000002382,False
51,002056,横店东磁,SZ,19.41,0.41,5.03,17.06,0.080,19.50,19.23,1.58,0.71,2572.90万,4.99亿,4.26,2.9709,315.74亿,315.42亿,1000005474,False
52,601818,光大银行,SH,3.20,-0.31,5.01,4.87,-0.010,3.21,3.19,0.27,1.21,1.24亿,3.96亿,1.22,0.3830,1890.74亿,1485.02亿,1000000869,False
53,600741,华域汽车,SH,20.61,0.63,5.00,9.02,0.130,20.76,20.47,0.68,1.23,2142.08万,4.42亿,2.25,0.9677,649.78亿,649.78亿,1000002146,False
54,601077,渝农商行,SH,7.21,-0.14,4.97,6.75,-0.010,7.25,7.16,0.42,1.01,3748.34万,2.70亿,1.69,0.6356,818.84亿,637.24亿,1001257129,False
55,601088,中国神华,SH,45.53,-0.65,4.96,18.69,-0.300,46.07,45.35,0.17,1.06,2751.44万,12.56亿,4.67,2.1049,9875.20亿,7508.37亿,1000010134,False
56,601598,中国外运,SH,6.08,-0.33,4.95,10.85,-0.020,6.18,6.03,0.33,0.83,1687.07万,1.03亿,2.71,1.0564,436.16亿,313.57亿,1001739287,False
57,601998,中信银行,SH,8.29,-1.54,4.95,6.53,-0.130,8.46,8.22,0.08,1.08,3415.68万,2.84亿,1.63,0.6373,4612.98亿,3379.25亿,1000001761,False
58,600016,民生银行,SH,3.72,-0.27,4.93,5.33,-0.010,3.74,3.71,0.37,1.03,1.32亿,4.92亿,1.33,0.2885,1628.71亿,1319.19亿,1000002334,False
59,002895,川恒股份,SZ,38.53,2.31,4.91,18.52,0.870,38.88,37.25,1.31,0.77,779.72万,2.98亿,4.63,3.0290,233.46亿,229.24亿,1000712764,False
60,000951,中国重汽,SZ,24.53,4.56,4.89,17.30,1.070,24.66,23.03,2.79,1.18,3272.87万,7.75亿,4.33,1.7831,288.20亿,288.20亿,1000001440,False
61,601107,四川成渝,SH,6.03,2.03,4.88,12.19,0.120,6.06,5.89,0.77,1.04,1670.02万,1.00亿,3.05,1.0880,184.40亿,130.41亿,1000004434,False
62,601098,中南传媒,SH,11.09,0.00,4.88,12.49,0.000,11.15,11.02,0.29,0.52,523.78万,5803.74万,3.12,1.2317,199.18亿,199.18亿,1000008043,False
63,600282,南钢股份,SH,5.70,0.88,4.86,12.26,0.050,5.73,5.61,0.44,0.81,2741.45万,1.55亿,3.06,1.2679,351.41亿,351.41亿,1000001995,False
64,002839,张家港行,SZ,4.52,0.22,4.81,5.58,0.010,4.54,4.50,0.78,0.96,1897.90万,8585.26万,1.40,0.5962,110.48亿,110.38亿,1000327173,False
