序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,总市值(元) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
11,601628,中国人寿,SH,37.87,0.45,1.07万亿,6.95,0.170,38.07,37.59,0.09,1.08,1847.51万,6.98亿,1.74,1.7983,7885.87亿,1000002664,False
12,601318,中国平安,SH,58.52,-0.31,1.06万亿,7.86,-0.180,59.03,58.25,0.51,0.88,5443.68万,31.90亿,1.97,1.0592,6238.27亿,1000002667,False
13,600036,招商银行,SH,39.91,0.03,1.01万亿,6.70,0.010,40.15,39.75,0.30,0.98,6172.58万,24.67亿,1.68,0.9408,8233.01亿,1000002452,False
14,601088,中国神华,SH,45.53,-0.65,9875.20亿,18.69,-0.300,46.07,45.35,0.17,1.06,2751.44万,12.56亿,4.67,2.1049,7508.37亿,1000010134,False
15,002594,比亚迪,SZ,105.54,2.44,9622.29亿,29.50,2.510,105.97,103.28,1.85,1.23,6436.61万,67.64亿,7.37,4.2288,3679.77亿,1000001360,False
16,601899,紫金矿业,SH,35.30,1.12,9386.52亿,18.13,0.390,35.39,35.00,0.98,0.81,2.01亿,70.78亿,4.53,5.1031,7272.43亿,1000001989,False
17,600028,中国石化,SH,5.66,-0.53,6844.38亿,21.52,-0.030,5.68,5.64,0.16,0.94,1.50亿,8.46亿,5.38,0.8243,5362.99亿,1000002379,False
18,600900,长江电力,SH,26.55,0.00,6496.31亿,19.01,0.000,26.70,26.52,0.29,0.98,7195.86万,19.12亿,5.76,3.0021,6496.31亿,1000001248,False
19,601328,交通银行,SH,6.92,-0.14,6114.77亿,6.39,-0.010,6.99,6.91,0.44,1.00,1.14亿,7.89亿,1.60,0.5351,1804.21亿,1000002489,False
20,601658,邮储银行,SH,5.07,-0.78,6088.82亿,6.97,-0.040,5.14,5.05,0.17,1.01,1.24亿,6.33亿,1.74,0.6028,3677.16亿,1001899021,False
