序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
1,002611,东方精工,SZ,17.85,3.48,29.96,44.88|2025年报,-,7.25亿|2025年报,5.10亿|2025三季报,3.97亿|2025半年报,2.76亿|2025一季报,5.01亿|2024年报,-,7.70亿|2025年报,5.40亿|2025三季报,4.16亿|2025半年报,2.81亿|2025一季报,5.40亿|2024年报,0.600,17.88,17.24,3.56,1.42,3569.26万,6.27亿,7.49,3.7633,217.29亿,178.84亿,1000010123,False
2,300824,北鼎股份,SZ,10.42,0.58,29.95,63.35|2025年报,-,1.14亿|2025年报,8291.58万|2025三季报,5582.88万|2025半年报,3337.27万|2025一季报,6950.87万|2024年报,-,1.14亿|2025年报,8291.58万|2025三季报,5582.88万|2025半年报,3337.27万|2025一季报,6950.87万|2024年报,0.060,10.46,10.30,1.12,1.17,354.26万,3674.91万,7.49,4.5252,34.00亿,32.98亿,1001247913,False
3,300972,万辰集团,SZ,210.50,2.34,29.95,358.09|2025年报,-,13.45亿|2025年报,8.55亿|2025三季报,4.72亿|2025半年报,2.15亿|2025一季报,2.94亿|2024年报,-,24.24亿|2025年报,15.91亿|2025三季报,8.70亿|2025半年报,3.88亿|2025一季报,6.03亿|2024年报,4.810,213.30,203.63,1.17,1.50,205.68万,4.31亿,7.49,26.5547,402.67亿,369.05亿,1002196463,False
4,603239,浙江仙通,SH,24.38,1.46,29.74,29.22|2025年报,-,2.22亿|2025年报,1.52亿|2025三季报,1.07亿|2025半年报,6668.83万|2025一季报,1.72亿|2024年报,-,2.22亿|2025年报,1.52亿|2025三季报,1.07亿|2025半年报,6668.83万|2025一季报,1.72亿|2024年报,0.350,24.46,24.01,1.55,0.53,418.61万,1.02亿,7.44,4.9780,66.00亿,66.00亿,1000326763,False
5,000960,锡业股份,SZ,35.41,3.90,29.63,36.14|2025年报,-,19.66亿|2025年报,17.45亿|2025三季报,10.62亿|2025半年报,4.99亿|2025一季报,14.44亿|2024年报,-,21.10亿|2025年报,18.45亿|2025三季报,11.28亿|2025半年报,5.08亿|2025一季报,15.70亿|2024年报,1.330,35.66,34.20,3.69,1.28,6068.21万,21.22亿,7.41,2.9752,582.65亿,582.65亿,1000001449,False
6,300893,松原安全,SZ,22.90,0.75,29.56,40.70|2025年报,-,3.66亿|2025年报,2.63亿|2025三季报,1.61亿|2025半年报,7350.58万|2025一季报,2.60亿|2024年报,-,3.66亿|2025年报,2.63亿|2025三季报,1.61亿|2025半年报,7350.58万|2025一季报,2.60亿|2024年报,0.170,22.98,22.45,1.26,0.82,317.33万,7215.71万,7.39,5.3110,108.32亿,57.45亿,1001893726,False
7,688236,春立医疗,SH,20.83,0.05,29.32,118.05|2025年报,-,2.73亿|2025年报,1.92亿|2025三季报,1.14亿|2025半年报,5807.11万|2025一季报,1.25亿|2024年报,-,2.73亿|2025年报,1.92亿|2025三季报,1.14亿|2025半年报,5803.06万|2025一季报,1.25亿|2024年报,0.010,21.59,20.70,0.78,1.22,225.88万,4721.78万,7.33,2.6762,79.90亿,60.08亿,1002231962,False
8,300389,艾比森,SZ,19.98,0.10,29.28,115.47|2025年报,-,2.52亿|2025年报,1.85亿|2025三季报,1.16亿|2025半年报,3641.00万|2025一季报,1.17亿|2024年报,-,2.46亿|2025年报,1.81亿|2025三季报,1.13亿|2025半年报,3387.13万|2025一季报,1.03亿|2024年报,0.020,20.08,19.78,4.18,0.63,917.70万,1.83亿,7.32,4.5014,73.75亿,43.84亿,1000011662,False
9,002259,升达林业,SZ,5.12,-0.58,29.22,998.75|2025年报,-,1.32亿|2025年报,1959.01万|2025三季报,1406.66万|2025半年报,1136.77万|2025一季报,1199.87万|2024年报,-,1.30亿|2025年报,1798.61万|2025三季报,1296.76万|2025半年报,1080.45万|2025一季报,1053.01万|2024年报,-0.030,5.20,5.02,3.24,0.80,2437.36万,1.24亿,7.30,10.1344,38.52亿,38.52亿,1000007206,False
10,603501,豪威集团,SH,93.71,1.52,29.21,21.73|2025年报,-,40.45亿|2025年报,32.10亿|2025三季报,20.28亿|2025半年报,8.66亿|2025一季报,33.23亿|2024年报,-,40.32亿|2025年报,31.99亿|2025三季报,20.20亿|2025半年报,8.62亿|2025一季报,32.84亿|2024年报,1.400,94.17,92.49,1.38,1.04,1664.50万,15.54亿,7.30,4.2300,1181.82亿,1134.27亿,1000498858,False
11,601059,信达证券,SH,16.95,0.30,29.03,38.74|2025年报,-,18.94亿|2025年报,13.54亿|2025三季报,10.24亿|2025半年报,2.05亿|2025一季报,13.65亿|2024年报,-,19.51亿|2025年报,13.81亿|2025三季报,10.32亿|2025半年报,2.09亿|2025一季报,14.15亿|2024年报,0.050,17.08,16.90,0.20,0.84,638.73万,1.08亿,7.26,2.6088,549.69亿,549.69亿,1002507820,False
12,001285,瑞立科密,SZ,53.43,1.04,28.91,23.75|2025年报,-,3.33亿|2025年报,2.37亿|2025三季报,1.42亿|2025半年报,-,2.69亿|2024年报,-,3.37亿|2025年报,2.40亿|2025三季报,1.44亿|2025半年报,-,2.75亿|2024年报,0.550,53.72,53.11,2.69,0.63,111.83万,5972.93万,28.91,2.5411,96.27亿,22.17亿,1003689824,False
13,002970,锐明技术,SZ,59.99,2.02,28.53,31.95|2025年报,-,3.83亿|2025年报,2.74亿|2025三季报,2.03亿|2025半年报,1.01亿|2025一季报,2.90亿|2024年报,-,3.89亿|2025年报,2.79亿|2025三季报,2.06亿|2025半年报,1.00亿|2025一季报,2.94亿|2024年报,1.190,61.09,59.00,6.44,0.89,797.84万,4.80亿,7.11,5.2048,108.83亿,74.31亿,1000730068,False
14,300130,新国都,SZ,23.45,1.65,28.38,100.17|2025年报,-,4.69亿|2025年报,4.08亿|2025三季报,2.75亿|2025半年报,1.56亿|2025一季报,2.34亿|2024年报,-,4.66亿|2025年报,4.05亿|2025三季报,2.74亿|2025半年报,1.56亿|2025一季报,2.31亿|2024年报,0.380,23.54,23.09,2.11,0.80,917.43万,2.14亿,7.09,3.0214,133.03亿,101.81亿,1000008098,False
15,603166,福达股份,SH,13.89,2.06,28.33,70.87|2025年报,-,3.17亿|2025年报,2.21亿|2025三季报,1.46亿|2025半年报,6510.68万|2025一季报,1.85亿|2024年报,-,3.17亿|2025年报,2.21亿|2025三季报,1.46亿|2025半年报,6510.68万|2025一季报,1.85亿|2024年报,0.280,13.95,13.61,0.96,1.18,614.99万,8508.60万,7.08,3.3747,89.68亿,89.00亿,1000011315,False
16,003033,征和工业,SZ,60.60,1.83,28.29,33.72|2025年报,-,1.75亿|2025年报,1.33亿|2025三季报,8900.17万|2025半年报,5383.85万|2025一季报,1.31亿|2024年报,-,1.76亿|2025年报,1.33亿|2025三季报,8892.10万|2025半年报,5383.85万|2025一季报,1.31亿|2024年报,1.090,60.75,59.13,2.06,0.85,166.71万,1.01亿,7.07,3.6482,49.54亿,48.93亿,1000730073,False
17,002138,顺络电子,SZ,35.74,0.08,28.22,22.71|2025年报,-,10.21亿|2025年报,7.69亿|2025三季报,4.86亿|2025半年报,2.33亿|2025一季报,8.32亿|2024年报,-,11.41亿|2025年报,8.73亿|2025三季报,5.59亿|2025半年报,2.61亿|2025一季报,9.50亿|2024年报,0.030,35.96,35.30,2.56,0.88,1939.64万,6.91亿,7.06,4.6928,288.18亿,270.37亿,1000006995,False
18,002917,金奥博,SZ,14.15,0.93,28.18,40.70|2025年报,-,1.75亿|2025年报,1.33亿|2025三季报,8672.50万|2025半年报,3572.20万|2025一季报,1.24亿|2024年报,-,2.14亿|2025年报,1.59亿|2025三季报,9764.23万|2025半年报,3809.86万|2025一季报,1.53亿|2024年报,0.130,14.18,13.82,2.16,0.94,563.70万,7911.14万,7.04,2.8785,49.19亿,36.87亿,1000868288,False
19,000975,山金国际,SZ,30.14,0.97,28.16,36.75|2025年报,-,29.72亿|2025年报,24.60亿|2025三季报,15.96亿|2025半年报,6.94亿|2025一季报,21.73亿|2024年报,-,32.68亿|2025年报,27.02亿|2025三季报,17.57亿|2025半年报,7.71亿|2025一季报,24.30亿|2024年报,0.290,30.46,29.66,1.00,0.89,2520.59万,7.57亿,7.04,5.6100,836.90亿,761.77亿,1000002420,False
20,002803,吉宏股份,SZ,17.28,5.56,28.11,52.16|2025年报,-,2.77亿|2025年报,2.16亿|2025三季报,1.18亿|2025半年报,5915.99万|2025一季报,1.82亿|2024年报,-,3.34亿|2025年报,2.59亿|2025三季报,1.37亿|2025半年报,6246.92万|2025一季报,1.84亿|2024年报,0.910,17.48,16.25,5.40,2.41,1557.96万,2.65亿,7.03,2.8844,77.83亿,49.88亿,1000317350,False
21,603132,金徽股份,SH,18.68,2.30,27.96,118.41|2026一季报,2.05亿|2026一季报,5.42亿|2025年报,3.46亿|2025三季报,2.53亿|2025半年报,9382.66万|2025一季报,-,2.05亿|2026一季报,5.41亿|2025年报,3.44亿|2025三季报,2.51亿|2025半年报,9261.35万|2025一季报,-,0.420,18.76,18.25,0.87,0.67,850.75万,1.58亿,22.29,5.3564,182.69亿,182.69亿,1002642459,False
22,300206,理邦仪器,SZ,14.74,-0.94,27.96,88.54|2025年报,-,3.06亿|2025年报,2.57亿|2025三季报,1.54亿|2025半年报,6508.82万|2025一季报,1.62亿|2024年报,-,3.08亿|2025年报,2.59亿|2025三季报,1.55亿|2025半年报,6518.00万|2025一季报,1.63亿|2024年报,-0.140,14.98,14.66,2.22,0.91,750.75万,1.11亿,6.99,3.8967,85.44亿,49.88亿,1000008332,False
23,000703,恒逸石化,SZ,15.97,4.04,27.72,3773.77|2026一季报,19.95亿|2026一季报,2.58亿|2025年报,2.31亿|2025三季报,2.27亿|2025半年报,5149.48万|2025一季报,-,28.18亿|2026一季报,2.95亿|2025年报,2.42亿|2025三季报,2.68亿|2025半年报,7758.50万|2025一季报,-,0.620,16.16,15.22,2.20,0.87,7893.78万,12.50亿,7.21,2.3081,575.34亿,572.26亿,1000002479,False
24,605016,百龙创园,SH,26.71,1.21,27.52,50.06|2025年报,-,3.69亿|2025年报,2.65亿|2025三季报,1.70亿|2025半年报,8141.96万|2025一季报,2.46亿|2024年报,-,3.69亿|2025年报,2.65亿|2025三季报,1.70亿|2025半年报,8141.96万|2025一季报,2.46亿|2024年报,0.320,26.94,26.30,1.36,0.52,572.07万,1.53亿,7.61,5.3882,112.19亿,112.19亿,1002087055,False
25,920978,开特股份,BJ,26.36,0.57,27.41,25.62|2025年报,-,1.73亿|2025年报,1.30亿|2025三季报,8525.19万|2025半年报,4013.01万|2025一季报,1.38亿|2024年报,-,1.73亿|2025年报,1.30亿|2025三季报,8525.57万|2025半年报,4004.40万|2025一季报,1.38亿|2024年报,0.150,26.57,26.19,1.67,0.73,168.37万,4436.02万,6.85,6.0570,47.46亿,26.61亿,1000463547,False
26,600988,赤峰黄金,SH,44.10,1.85,27.19,74.70|2025年报,-,30.82亿|2025年报,20.58亿|2025三季报,11.07亿|2025半年报,4.83亿|2025一季报,17.64亿|2024年报,-,34.47亿|2025年报,23.11亿|2025三季报,12.82亿|2025半年报,5.65亿|2025一季报,19.86亿|2024年报,0.800,44.30,42.60,2.31,0.95,3849.44万,16.74亿,6.80,6.2473,838.08亿,733.78亿,1000002338,False
27,600499,科达制造,SH,18.44,3.60,27.02,30.07|2025年报,-,13.09亿|2025年报,11.49亿|2025三季报,7.45亿|2025半年报,3.47亿|2025一季报,10.06亿|2024年报,-,21.67亿|2025年报,18.32亿|2025三季报,11.37亿|2025半年报,5.21亿|2025一季报,12.88亿|2024年报,0.640,18.52,17.67,1.43,0.81,2738.99万,4.99亿,6.76,2.8084,353.65亿,353.65亿,1000000120,False
28,002925,盈趣科技,SZ,20.11,1.16,26.89,129.43|2025年报,-,5.77亿|2025年报,1.78亿|2025三季报,1.38亿|2025半年报,7664.03万|2025一季报,2.52亿|2024年报,-,5.99亿|2025年报,1.96亿|2025三季报,1.48亿|2025半年报,7854.87万|2025一季报,2.67亿|2024年报,0.230,20.31,19.76,1.95,1.27,1428.39万,2.86亿,6.72,3.0566,155.18亿,147.01亿,1000803513,False
29,002454,松芝股份,SZ,10.53,-0.38,26.75,81.32|2025年报,-,2.47亿|2025年报,2.13亿|2025三季报,1.42亿|2025半年报,9323.97万|2025一季报,1.36亿|2024年报,-,2.86亿|2025年报,2.46亿|2025三季报,1.65亿|2025半年报,1.04亿|2025一季报,1.60亿|2024年报,-0.040,10.60,10.35,3.73,0.81,2340.02万,2.45亿,6.69,1.6516,66.19亿,66.02亿,1000006292,False
30,600369,西南证券,SH,4.26,0.24,26.65,51.90|2025年报,-,10.62亿|2025年报,7.06亿|2025三季报,4.23亿|2025半年报,2.46亿|2025一季报,6.99亿|2024年报,-,10.62亿|2025年报,7.06亿|2025三季报,4.23亿|2025半年报,2.46亿|2025一季报,6.99亿|2024年报,0.010,4.29,4.24,0.43,0.85,2838.67万,1.21亿,6.66,1.0784,283.08亿,283.08亿,1000000892,False
31,002475,立讯精密,SZ,60.45,2.84,26.53,24.20|2025年报,-,166.00亿|2025年报,115.18亿|2025三季报,66.44亿|2025半年报,30.44亿|2025一季报,133.66亿|2024年报,-,181.70亿|2025年报,127.28亿|2025三季报,72.98亿|2025半年报,33.77亿|2025一季报,145.79亿|2024年报,1.670,60.65,58.00,2.75,0.73,2.00亿,119.04亿,6.63,5.2188,4404.38亿,4394.28亿,1000007943,False
32,601456,国联民生,SH,9.33,0.21,26.38,405.49|2025年报,-,20.09亿|2025年报,17.63亿|2025三季报,11.27亿|2025半年报,3.76亿|2025一季报,3.97亿|2024年报,-,20.31亿|2025年报,17.79亿|2025三季报,11.37亿|2025半年报,3.79亿|2025一季报,4.06亿|2024年报,0.020,9.36,9.30,0.45,0.79,1983.27万,1.85亿,6.60,1.0097,530.00亿,408.37亿,1000868277,False
33,002920,德赛西威,SZ,108.39,3.77,26.36,22.38|2025年报,-,24.54亿|2025年报,17.88亿|2025三季报,12.23亿|2025半年报,5.82亿|2025一季报,20.05亿|2024年报,-,24.73亿|2025年报,18.05亿|2025三季报,12.34亿|2025半年报,5.87亿|2025一季报,20.18亿|2024年报,3.940,108.48,105.81,1.93,1.78,1072.13万,11.53亿,6.59,4.4079,646.88亿,601.27亿,1000721966,False
34,603586,金麒麟,SH,18.33,0.60,26.35,47.95|2025年报,-,1.36亿|2025年报,1.33亿|2025三季报,1.08亿|2025半年报,7506.44万|2025一季报,9217.01万|2024年报,-,1.36亿|2025年报,1.33亿|2025三季报,1.08亿|2025半年报,7506.44万|2025一季报,9217.01万|2024年报,0.110,18.38,18.11,0.80,0.90,156.37万,2855.76万,6.59,1.5608,35.94亿,35.94亿,1000498861,False
35,300750,宁德时代,SZ,453.98,5.33,26.24,48.52|2026一季报,207.38亿|2026一季报,722.01亿|2025年报,490.34亿|2025三季报,304.85亿|2025半年报,139.63亿|2025一季报,-,227.37亿|2026一季报,767.86亿|2025年报,522.97亿|2025三季报,323.65亿|2025半年报,148.62亿|2025一季报,-,22.980,460.00,433.02,1.49,1.59,6350.62万,285.17亿,24.98,6.3399,2.07万亿,1.93万亿,1001194744,False
36,300059,东方财富,SZ,20.06,1.06,26.23,25.75|2025年报,-,120.85亿|2025年报,90.97亿|2025三季报,55.67亿|2025半年报,27.15亿|2025一季报,96.10亿|2024年报,-,120.85亿|2025年报,90.97亿|2025三季报,55.67亿|2025半年报,27.15亿|2025一季报,96.10亿|2024年报,0.210,20.25,19.86,1.77,0.72,2.36亿,47.36亿,6.56,3.5110,3170.29亿,2675.55亿,1000008935,False
37,000407,胜利股份,SZ,4.63,0.87,26.16,32.87|2025年报,-,1.56亿|2025年报,1.20亿|2025三季报,8844.26万|2025半年报,2744.44万|2025一季报,1.17亿|2024年报,-,2.05亿|2025年报,1.51亿|2025三季报,1.12亿|2025半年报,3550.40万|2025一季报,1.39亿|2024年报,0.040,4.65,4.54,1.97,1.05,1727.28万,7957.18万,6.54,1.3342,40.75亿,40.55亿,1000002104,False
38,300456,赛微电子,SZ,52.55,0.25,26.11,966.77|2025年报,-,14.73亿|2025年报,15.76亿|2025三季报,-65.03万|2025半年报,264.21万|2025一季报,-1.70亿|2024年报,-,13.88亿|2025年报,15.14亿|2025三季报,-2888.75万|2025半年报,-2012.53万|2025一季报,-2.55亿|2024年报,0.130,53.28,51.88,6.97,0.61,4163.37万,21.86亿,6.53,5.7136,384.78亿,313.96亿,1000317362,False
39,002553,南方精工,SZ,25.49,0.51,26.07,1316.84|2025年报,-,3.46亿|2025年报,3.67亿|2025三季报,2.29亿|2025半年报,9150.76万|2025一季报,2439.28万|2024年报,-,3.23亿|2025年报,3.57亿|2025三季报,2.23亿|2025半年报,8947.44万|2025一季报,960.59万|2024年报,0.130,25.72,25.24,3.45,0.66,865.88万,2.20亿,6.52,5.7336,90.08亿,63.93亿,1000008292,False
40,920357,雅葆轩,BJ,24.25,2.45,26.06,71.89|2026一季报,2074.48万|2026一季报,6583.11万|2025年报,4871.88万|2025三季报,2927.07万|2025半年报,1206.84万|2025一季报,-,2068.50万|2026一季报,6582.79万|2025年报,4871.88万|2025三季报,2927.07万|2025半年报,1206.84万|2025一季报,-,0.580,25.50,23.96,5.50,3.71,244.96万,5965.29万,23.40,4.5796,19.42亿,10.79亿,1000694139,False
41,688208,道通科技,SH,36.30,2.89,25.99,46.02|2025年报,-,9.36亿|2025年报,7.33亿|2025三季报,4.80亿|2025半年报,1.99亿|2025一季报,6.41亿|2024年报,-,8.90亿|2025年报,7.00亿|2025三季报,4.55亿|2025半年报,1.86亿|2025一季报,5.60亿|2024年报,1.020,36.82,35.35,1.58,0.89,1056.79万,3.82亿,6.50,6.6147,243.28亿,243.28亿,1000576792,False
42,688278,特宝生物,SH,65.00,0.02,25.73,24.61|2025年报,-,10.31亿|2025年报,6.66亿|2025三季报,4.28亿|2025半年报,1.82亿|2025一季报,8.28亿|2024年报,-,10.31亿|2025年报,6.66亿|2025三季报,4.28亿|2025半年报,1.82亿|2025一季报,8.28亿|2024年报,0.010,65.10,63.52,0.62,1.03,252.39万,1.63亿,6.43,7.6915,265.32亿,265.32亿,1001802168,False
43,300320,海达股份,SZ,9.91,0.81,25.64,43.67|2025年报,-,2.32亿|2025年报,1.67亿|2025三季报,1.08亿|2025半年报,5264.84万|2025一季报,1.62亿|2024年报,-,2.37亿|2025年报,1.70亿|2025三季报,1.11亿|2025半年报,5411.46万|2025一季报,1.69亿|2024年报,0.080,9.94,9.50,3.51,2.02,1705.52万,1.67亿,6.41,2.3534,59.58亿,48.10亿,1000010270,False
44,600995,南网储能,SH,14.16,0.07,25.59,49.89|2025年报,-,16.89亿|2025年报,14.33亿|2025三季报,8.32亿|2025半年报,3.74亿|2025一季报,11.26亿|2024年报,-,20.78亿|2025年报,17.38亿|2025三季报,10.09亿|2025半年报,4.55亿|2025一季报,14.32亿|2024年报,0.010,14.30,14.03,0.75,1.11,2401.45万,3.41亿,6.70,1.9593,452.55亿,452.55亿,1000002388,False
45,300644,南京聚隆,SZ,30.63,3.65,25.59,57.05|2025年报,-,1.32亿|2025年报,1.01亿|2025三季报,5736.44万|2025半年报,3052.77万|2025一季报,8433.97万|2024年报,-,1.35亿|2025年报,1.03亿|2025三季报,5838.36万|2025半年报,3079.17万|2025一季报,8709.61万|2024年报,1.080,30.68,29.48,4.57,1.09,405.17万,1.23亿,6.40,3.2262,33.89亿,27.13亿,1001002449,False
46,300685,艾德生物,SZ,23.52,2.04,25.49,41.74|2025年报,-,3.61亿|2025年报,2.63亿|2025三季报,1.89亿|2025半年报,9047.18万|2025一季报,2.55亿|2024年报,-,3.61亿|2025年报,2.63亿|2025三季报,1.89亿|2025半年报,9047.18万|2025一季报,2.55亿|2024年报,0.470,23.70,23.04,3.98,1.30,1549.46万,3.62亿,6.37,4.4792,92.09亿,91.63亿,1000602812,False
47,300866,安克创新,SZ,120.68,7.89,25.42,20.37|2025年报,-,25.45亿|2025年报,19.33亿|2025三季报,11.67亿|2025半年报,4.96亿|2025一季报,21.14亿|2024年报,-,26.17亿|2025年报,19.69亿|2025三季报,11.66亿|2025半年报,5.24亿|2025一季报,22.11亿|2024年报,8.830,120.88,112.00,4.19,1.62,1287.43万,15.17亿,6.36,6.1487,647.04亿,371.12亿,1001855434,False
48,920166,海圣医疗,BJ,28.88,0.10,25.34,21.01|2025年报,-,8581.59万|2025年报,5878.20万|2025三季报,3549.42万|2025半年报,1183.53万|2025一季报,7091.75万|2024年报,-,8581.59万|2025年报,5878.20万|2025三季报,3549.42万|2025半年报,1183.53万|2025一季报,7091.75万|2024年报,0.030,29.83,28.80,5.04,0.87,119.74万,3495.50万,12.67,3.5583,21.74亿,6.86亿,1004207982,False
49,920106,林泰新材,BJ,63.21,-1.22,25.34,74.22|2025年报,-,1.41亿|2025年报,1.07亿|2025三季报,7516.27万|2025半年报,3836.16万|2025一季报,8104.32万|2024年报,-,1.41亿|2025年报,1.07亿|2025三季报,7516.27万|2025半年报,3836.16万|2025一季报,8104.32万|2024年报,-0.780,64.24,62.97,1.16,1.07,50.55万,3205.68万,6.33,6.1829,35.77亿,27.59亿,1003875158,False
50,001210,金房能源,SZ,21.59,2.42,25.19,176.06|2025年报,-,1.34亿|2025年报,8980.32万|2025三季报,1.20亿|2025半年报,1.30亿|2025一季报,4868.99万|2024年报,-,1.25亿|2025年报,8627.42万|2025三季报,1.18亿|2025半年报,1.32亿|2025一季报,5219.22万|2024年报,0.510,21.63,20.96,3.12,1.42,297.75万,6366.59万,6.30,2.5235,33.86亿,20.58亿,1001090153,False
51,001391,国货航,SZ,5.32,-0.19,25.13,32.33|2025年报,-,25.85亿|2025年报,18.36亿|2025三季报,12.40亿|2025半年报,5.79亿|2025一季报,19.53亿|2024年报,-,25.85亿|2025年报,18.36亿|2025三季报,12.40亿|2025半年报,5.79亿|2025一季报,19.54亿|2024年报,-0.010,5.33,5.30,0.97,0.86,1466.43万,7791.40万,6.28,2.4197,649.51亿,80.83亿,1003354144,False
52,605499,东鹏饮料,SH,194.26,0.39,24.85,32.72|2025年报,-,44.15亿|2025年报,37.61亿|2025三季报,23.75亿|2025半年报,9.80亿|2025一季报,33.27亿|2024年报,-,44.14亿|2025年报,37.60亿|2025三季报,23.75亿|2025半年报,9.80亿|2025一季报,33.26亿|2024年报,0.760,195.22,192.25,0.82,0.91,428.20万,8.31亿,6.21,11.6455,1097.12亿,1010.18亿,1002224299,False
53,920768,拾比佰,BJ,11.99,6.48,24.63,1569.76|2025年报,-,5401.43万|2025年报,4582.43万|2025三季报,2922.64万|2025半年报,1091.18万|2025一季报,-367.50万|2024年报,-,5401.43万|2025年报,4582.43万|2025三季报,2922.64万|2025半年报,1091.18万|2025一季报,-367.50万|2024年报,0.730,12.60,11.75,7.22,5.15,552.04万,6614.42万,6.16,1.8818,13.31亿,9.17亿,1000376210,False
54,300001,特锐德,SZ,28.89,0.87,24.53,35.62|2025年报,-,12.43亿|2025年报,6.86亿|2025三季报,3.27亿|2025半年报,6477.73万|2025一季报,9.17亿|2024年报,-,13.14亿|2025年报,6.90亿|2025三季报,3.24亿|2025半年报,4639.30万|2025一季报,9.39亿|2024年报,0.250,29.20,28.34,2.05,0.80,2125.35万,6.11亿,6.13,3.5683,304.94亿,298.98亿,1000008188,False
55,002258,利尔化学,SZ,14.67,0.82,24.53,122.33|2025年报,-,4.79亿|2025年报,3.81亿|2025三季报,2.71亿|2025半年报,1.53亿|2025一季报,2.15亿|2024年报,-,5.81亿|2025年报,4.51亿|2025三季报,3.27亿|2025半年报,1.86亿|2025一季报,2.98亿|2024年报,0.120,14.80,14.50,1.34,0.97,1067.66万,1.57亿,6.13,1.4885,117.42亿,117.24亿,1000007534,False
56,603296,华勤技术,SH,97.57,-1.32,24.44,38.55|2025年报,-,40.54亿|2025年报,30.99亿|2025三季报,18.89亿|2025半年报,8.42亿|2025一季报,29.26亿|2024年报,-,41.05亿|2025年报,31.15亿|2025三季报,18.90亿|2025半年报,8.39亿|2025一季报,29.14亿|2024年报,-1.310,98.94,95.65,2.45,0.91,1394.95万,13.57亿,6.11,3.8417,991.05亿,556.62亿,1002681202,False
57,002083,孚日股份,SZ,12.34,-5.66,24.27,41.52|2026一季报,1.80亿|2026一季报,4.28亿|2025年报,2.96亿|2025三季报,2.46亿|2025半年报,1.27亿|2025一季报,-,1.78亿|2026一季报,4.11亿|2025年报,2.87亿|2025三季报,2.40亿|2025半年报,1.24亿|2025一季报,-,-0.740,12.80,12.07,12.72,1.39,1.20亿,14.88亿,16.19,2.3915,116.82亿,116.82亿,1000009908,False
58,688612,威迈斯,SH,31.89,0.82,23.94,39.51|2025年报,-,5.58亿|2025年报,4.25亿|2025三季报,2.72亿|2025半年报,1.01亿|2025一季报,4.00亿|2024年报,-,5.59亿|2025年报,4.26亿|2025三季报,2.73亿|2025半年报,1.01亿|2025一季报,4.12亿|2024年报,0.260,32.17,31.12,2.15,1.12,543.80万,1.72亿,5.99,3.6852,133.68亿,80.54亿,1001898939,False
59,600621,华鑫股份,SH,14.27,0.78,23.82,73.98|2025年报,-,6.36亿|2025年报,5.06亿|2025三季报,2.24亿|2025半年报,1.37亿|2025一季报,3.65亿|2024年报,-,6.36亿|2025年报,5.06亿|2025三季报,2.24亿|2025半年报,1.37亿|2025一季报,3.66亿|2024年报,0.110,14.31,14.15,0.90,0.70,955.88万,1.36亿,5.95,1.6459,151.39亿,151.39亿,1000000915,False
60,601002,晋亿实业,SH,6.04,0.83,23.80,86.12|2025年报,-,2.42亿|2025年报,1.63亿|2025三季报,1.17亿|2025半年报,5755.73万|2025一季报,1.30亿|2024年报,-,2.43亿|2025年报,1.64亿|2025三季报,1.18亿|2025半年报,5789.29万|2025一季报,1.31亿|2024年报,0.050,6.05,5.86,4.28,0.64,4089.09万,2.45亿,5.95,1.3314,57.65亿,57.65亿,1000006541,False
61,603271,永杰新材,SH,50.15,2.87,23.76,30.00|2025年报,-,4.15亿|2025年报,3.09亿|2025三季报,1.86亿|2025半年报,7571.27万|2025一季报,3.19亿|2024年报,-,4.15亿|2025年报,3.09亿|2025三季报,1.86亿|2025半年报,7571.27万|2025一季报,3.19亿|2024年报,1.400,51.33,48.29,6.68,2.51,631.62万,3.14亿,5.94,3.3742,98.66亿,47.43亿,1003139200,False
62,600089,特变电工,SH,27.95,-0.96,23.72,44.01|2025年报,-,59.54亿|2025年报,54.84亿|2025三季报,31.84亿|2025半年报,16.00亿|2025一季报,41.35亿|2024年报,-,60.01亿|2025年报,57.35亿|2025三季报,34.05亿|2025半年报,16.58亿|2025一季报,35.98亿|2024年报,-0.270,27.96,27.11,4.33,1.31,2.19亿,60.13亿,5.93,2.0206,1412.26亿,1412.26亿,1000002271,False
