序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
131,600660,福耀玻璃,SH,59.15,0.20,16.58,24.20|2025年报,-,93.12亿|2025年报,70.64亿|2025三季报,48.05亿|2025半年报,20.30亿|2025一季报,74.98亿|2024年报,-,93.17亿|2025年报,70.68亿|2025三季报,48.08亿|2025半年报,20.31亿|2025一季报,75.04亿|2024年报,0.120,59.68,58.81,0.50,0.98,1010.76万,5.99亿,4.14,4.1102,1543.66亿,1184.77亿,1000002179,False
132,603259,药明康德,SH,105.66,-1.10,16.46,102.65|2025年报,-,191.51亿|2025年报,120.76亿|2025三季报,85.61亿|2025半年报,36.72亿|2025一季报,94.50亿|2024年报,-,193.33亿|2025年报,122.06亿|2025三季报,86.60亿|2025半年报,37.15亿|2025一季报,95.68亿|2024年报,-1.170,107.88,105.59,1.41,1.01,3476.48万,36.95亿,4.12,3.9550,3152.64亿,2613.27亿,1001042696,False
133,002648,卫星化学,SZ,28.20,1.00,16.21,34.97|2026一季报,21.17亿|2026一季报,53.11亿|2025年报,37.55亿|2025三季报,27.44亿|2025半年报,15.68亿|2025一季报,-,21.17亿|2026一季报,53.05亿|2025年报,37.55亿|2025三季报,27.42亿|2025半年报,15.68亿|2025一季报,-,0.280,28.33,27.56,1.26,0.68,4230.49万,11.84亿,11.22,2.6795,949.96亿,949.35亿,1000009284,False
134,600415,小商品城,SH,12.33,0.90,16.08,36.76|2025年报,-,42.04亿|2025年报,34.57亿|2025三季报,16.91亿|2025半年报,8.03亿|2025一季报,30.74亿|2024年报,-,42.16亿|2025年报,34.65亿|2025三季报,16.97亿|2025半年报,8.04亿|2025一季报,30.78亿|2024年报,0.110,12.45,12.25,1.24,0.60,6798.49万,8.38亿,4.02,2.9463,676.12亿,676.12亿,1000000004,False
135,603326,我乐家居,SH,8.76,2.46,16.03,43.56|2025年报,-,1.74亿|2025年报,1.38亿|2025三季报,9231.01万|2025半年报,4014.82万|2025一季报,1.21亿|2024年报,-,1.74亿|2025年报,1.38亿|2025三季报,9231.01万|2025半年报,4014.82万|2025一季报,1.21亿|2024年报,0.210,8.81,8.55,1.15,1.01,367.71万,3193.64万,4.01,2.3632,27.96亿,27.96亿,1000625541,False
136,600104,上汽集团,SH,14.05,0.07,15.98,506.45|2025年报,-,101.06亿|2025年报,81.01亿|2025三季报,60.18亿|2025半年报,30.23亿|2025一季报,16.66亿|2024年报,-,174.44亿|2025年报,119.99亿|2025三季报,83.19亿|2025半年报,40.05亿|2025一季报,58.33亿|2024年报,0.010,14.12,14.02,0.37,1.07,4296.25万,6.04亿,4.00,0.5405,1615.09亿,1615.09亿,1000002328,False
137,600983,惠而浦,SH,10.79,0.09,15.91,157.55|2025年报,-,5.20亿|2025年报,3.17亿|2025三季报,2.16亿|2025半年报,1.16亿|2025一季报,2.02亿|2024年报,-,5.20亿|2025年报,3.17亿|2025三季报,2.16亿|2025半年报,1.16亿|2025一季报,2.02亿|2024年报,0.010,10.88,10.69,1.26,0.77,966.45万,1.04亿,3.98,2.7785,82.70亿,82.70亿,1000002023,False
138,600356,恒丰纸业,SH,9.53,4.04,15.88,70.72|2025年报,-,1.98亿|2025年报,1.48亿|2025三季报,9493.67万|2025半年报,2802.95万|2025一季报,1.16亿|2024年报,-,2.12亿|2025年报,1.52亿|2025三季报,9634.66万|2025半年报,2837.32万|2025一季报,1.32亿|2024年报,0.370,9.80,9.31,7.83,1.47,2340.49万,2.25亿,3.97,1.0506,31.40亿,28.47亿,1000000766,False
139,300138,晨光生物,SZ,12.05,0.17,15.78,292.21|2025年报,-,3.69亿|2025年报,3.04亿|2025三季报,2.15亿|2025半年报,1.09亿|2025一季报,9404.96万|2024年报,-,3.75亿|2025年报,3.11亿|2025三季报,2.21亿|2025半年报,1.11亿|2025一季报,7795.71万|2024年报,0.020,12.08,11.93,1.29,0.86,512.61万,6156.05万,3.95,1.7177,58.21亿,48.00亿,1000008202,False
140,603444,吉比特,SH,386.43,-1.76,15.52,89.82|2025年报,-,17.94亿|2025年报,12.14亿|2025三季报,6.45亿|2025半年报,2.83亿|2025一季报,9.45亿|2024年报,-,21.46亿|2025年报,15.08亿|2025三季报,8.20亿|2025半年报,3.79亿|2025一季报,11.79亿|2024年报,-6.910,391.34,380.00,6.41,2.06,461.55万,17.75亿,3.88,5.0518,278.39亿,278.39亿,1000319586,False
