序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
76,600482,中国动力,SH,39.00,5.63,47.68,2.080,39.50,36.51,2.33,0.88,5295.44万,20.36亿,18.31,2.1996,884.62亿,884.62亿,1000002016,False
77,000938,紫光股份,SZ,28.09,2.22,47.66,0.610,28.68,27.50,5.27,0.94,1.51亿,42.48亿,11.92,5.4480,803.40亿,803.39亿,1000001344,False
78,600776,东方通信,SH,15.62,1.69,47.66,0.260,15.69,15.30,1.77,0.96,1689.41万,2.62亿,13.46,5.1890,196.19亿,149.33亿,1000002092,False
79,002399,海普瑞,SZ,11.35,-0.79,47.65,-0.090,11.46,11.29,0.28,0.73,345.35万,3924.77万,11.91,1.3842,166.54亿,141.56亿,1000008099,False
80,301080,百普赛斯,SZ,49.23,-2.13,47.64,-1.070,50.25,48.89,4.10,0.90,517.19万,2.55亿,15.54,3.1146,82.30亿,62.03亿,1002404060,False
81,300408,三环集团,SZ,65.07,-0.38,47.63,-0.250,65.83,64.23,1.28,0.75,2392.97万,15.52亿,11.91,5.7578,1247.06亿,1216.68亿,1000327176,False
82,301500,飞南资源,SZ,24.34,2.96,47.62,0.700,24.65,23.41,10.24,0.66,1475.61万,3.56亿,11.90,2.8661,136.78亿,35.06亿,1002485167,False
83,301682,宏明电子,SZ,124.75,-0.76,47.58,-0.960,128.00,123.60,24.31,1.02,624.50万,7.80亿,0.00,3.1177,151.63亿,32.04亿,1004265976,False
84,603267,鸿远电子,SH,51.43,0.47,47.56,0.240,51.80,50.94,1.78,0.73,410.44万,2.11亿,11.89,2.6879,118.84亿,118.84亿,1001011301,False
85,688628,优利德,SH,64.83,0.50,47.53,0.320,65.98,63.38,2.55,0.62,285.43万,1.84亿,13.41,5.7207,72.46亿,72.46亿,1002251545,False
86,002463,沪电股份,SZ,94.40,1.75,47.53,1.620,95.46,91.91,4.02,0.78,7729.29万,72.46亿,11.88,12.0203,1816.60亿,1815.13亿,1000006938,False
87,301059,金三江,SZ,14.17,2.31,47.50,0.320,14.18,13.79,1.23,1.06,253.83万,3561.08万,15.38,5.3614,32.75亿,29.29亿,1002298457,False
88,920706,铁拓机械,BJ,24.76,-0.72,47.48,-0.180,24.79,24.19,5.08,0.81,241.94万,5919.92万,11.87,3.8543,22.88亿,11.80亿,1002931128,False
89,920066,科拜尔,BJ,21.37,0.56,47.48,0.120,21.43,21.19,1.83,1.05,36.44万,777.67万,15.55,3.3435,13.43亿,4.25亿,1003946185,False
90,301363,美好医疗,SZ,26.21,0.61,47.46,0.160,26.32,25.82,1.36,0.75,509.04万,1.33亿,17.90,4.0776,149.10亿,97.82亿,1002613003,False
91,002826,易明医药,SZ,21.37,6.69,47.45,1.340,21.66,19.85,5.27,2.29,965.16万,2.01亿,12.46,5.0798,40.75亿,39.10亿,1000653867,False
92,002988,豪美新材,SZ,34.33,-0.15,47.44,-0.050,34.80,33.70,1.93,0.45,481.94万,1.65亿,14.97,3.1996,85.75亿,85.75亿,1001825993,False
93,601112,振石股份,SH,20.00,0.40,47.42,0.080,20.27,19.93,6.02,0.70,1066.70万,2.14亿,47.42,5.3990,348.07亿,35.45亿,1004293303,False
94,301031,中熔电气,SZ,149.06,2.90,47.42,4.200,151.65,144.50,3.95,1.49,271.86万,4.03亿,15.13,10.4183,146.56亿,102.58亿,1002304097,False
95,002050,三花智控,SZ,45.78,1.49,47.42,0.670,46.66,45.41,2.51,1.12,9249.23万,42.44亿,11.85,6.0677,1926.43亿,1686.63亿,1000001787,False
96,300856,科思股份,SZ,12.58,0.80,47.40,0.100,12.60,12.45,0.43,0.83,196.13万,2457.00万,19.20,2.2368,59.84亿,57.83亿,1001855439,False
97,300790,宇瞳光学,SZ,30.18,1.89,47.40,0.560,30.59,29.05,6.47,0.63,2101.42万,6.28亿,15.02,4.3550,112.91亿,97.97亿,1001402303,False
98,301323,新莱福,SZ,64.08,0.93,47.37,0.590,64.49,62.13,3.65,0.59,246.92万,1.57亿,16.20,3.1139,67.66亿,43.36亿,1002681433,False
99,301479,弘景光电,SZ,102.55,2.70,47.31,2.700,104.74,97.53,9.28,1.56,472.78万,4.78亿,16.11,7.1149,91.23亿,52.23亿,1003515216,False
100,002410,广联达,SZ,11.59,1.76,47.26,0.200,11.62,11.44,1.82,1.13,2855.04万,3.30亿,11.82,3.1656,191.46亿,181.98亿,1000007953,False
101,688138,清溢光电,SH,28.08,1.48,47.23,0.410,28.22,27.61,0.63,0.89,198.29万,5540.96万,15.37,3.1843,88.40亿,88.40亿,1000596978,False
102,600186,莲花控股,SH,8.14,5.85,47.21,0.450,8.37,7.54,18.47,1.50,3.29亿,26.25亿,14.43,7.4371,145.93亿,144.92亿,1000000316,False
103,601678,滨化股份,SH,5.10,0.59,47.18,0.030,5.14,5.03,1.70,0.63,3478.24万,1.77亿,13.64,0.9178,104.90亿,104.21亿,1000008285,False
104,601155,新城控股,SH,14.22,0.14,47.16,0.020,14.56,14.09,0.71,0.99,1590.44万,2.27亿,11.79,0.5207,320.75亿,320.75亿,1000601567,False
105,301361,众智科技,SZ,39.10,2.71,47.15,1.030,39.27,37.70,9.12,1.16,277.52万,1.07亿,11.79,3.7132,45.49亿,11.90亿,1002678784,False
106,605365,立达信,SH,25.01,5.66,47.15,1.340,25.02,23.14,4.72,2.82,2371.70万,5.77亿,24.66,3.3676,125.55亿,125.55亿,1002281109,False
107,600429,三元股份,SH,5.83,0.52,47.11,0.030,5.93,5.74,1.11,0.71,1659.05万,9693.70万,9.27,1.6719,87.57亿,87.31亿,1000001144,False
108,605258,协和电子,SH,37.08,1.73,47.02,0.630,37.44,36.33,4.81,0.84,423.52万,1.57亿,18.24,2.7332,32.63亿,32.63亿,1001898999,False
109,300950,德固特,SZ,21.74,1.73,47.00,0.370,21.86,21.21,2.01,1.14,182.49万,3941.75万,11.51,4.1702,33.28亿,19.78亿,1002097000,False
110,300306,远方信息,SZ,12.49,1.54,46.99,0.190,12.55,12.27,1.64,1.01,258.70万,3219.37万,11.75,2.2570,33.59亿,19.68亿,1000008691,False
111,920770,艾能聚,BJ,15.62,1.36,46.93,0.210,15.66,15.37,1.76,0.66,144.01万,2237.25万,10.26,3.2976,20.33亿,12.79亿,1000548186,False
112,301539,宏鑫科技,SZ,19.37,1.10,46.91,0.210,19.43,19.03,1.70,1.03,127.70万,2462.77万,16.43,3.5151,28.67亿,14.54亿,1003067312,False
113,300221,银禧科技,SZ,10.96,6.20,46.89,0.640,11.05,10.26,6.61,1.86,3021.50万,3.24亿,11.72,3.5430,51.92亿,50.11亿,1000008176,False
114,601618,中国中冶,SH,2.99,0.00,46.88,0.000,3.01,2.98,0.40,0.78,7142.98万,2.14亿,11.72,0.6095,619.64亿,533.79亿,1000007968,False
115,000869,张  裕Ａ,SZ,19.15,-0.78,46.83,-0.150,19.30,19.12,0.25,1.37,115.10万,2208.19万,16.78,1.2041,125.86亿,87.15亿,1000002232,False
116,603999,读者传媒,SH,6.95,1.16,46.82,0.080,7.01,6.83,1.14,1.02,653.89万,4527.93万,11.71,1.9376,40.03亿,40.03亿,1000309233,False
117,002166,莱茵生物,SZ,9.02,-0.11,46.74,-0.010,9.05,8.91,1.16,0.77,854.95万,7677.97万,11.68,2.1193,66.89亿,66.62亿,1000006626,False
118,601126,四方股份,SH,46.50,3.22,46.74,1.450,46.50,43.80,3.86,1.09,3187.92万,14.47亿,11.68,7.9149,387.42亿,383.66亿,1000005700,False
119,603739,蔚蓝生物,SH,15.43,1.18,46.72,0.180,15.45,15.12,1.36,0.86,344.82万,5271.13万,15.80,2.2008,39.04亿,39.04亿,1001037509,False
120,000911,广农糖业,SZ,5.86,2.09,46.68,0.120,5.89,5.65,2.86,1.21,1144.53万,6620.00万,-133.53,19.5423,23.46亿,23.46亿,1000001117,False
121,002051,中工国际,SZ,11.59,-2.61,46.66,-0.310,11.93,11.40,12.99,1.00,1.61亿,18.68亿,14.53,1.2318,143.42亿,143.41亿,1000000519,False
122,603511,爱慕股份,SH,14.21,-0.14,46.59,-0.020,14.39,14.15,0.44,1.26,176.50万,2519.00万,14.19,1.3187,57.42亿,57.11亿,1002284326,False
123,603137,恒尚节能,SH,13.48,1.05,46.59,0.140,13.49,13.20,2.57,1.06,189.84万,2541.54万,13.10,1.9835,24.66亿,9.94亿,1002900205,False
124,002696,百洋股份,SZ,6.92,2.22,46.58,0.150,6.96,6.70,1.93,0.92,645.66万,4416.95万,16.59,1.7466,23.97亿,23.15亿,1000010310,False
125,603860,中公高科,SH,31.83,2.38,46.55,0.740,31.98,30.80,1.65,0.85,110.08万,3466.02万,11.64,2.5265,21.22亿,21.22亿,1000305482,False
126,600789,鲁抗医药,SH,8.38,-1.18,46.40,-0.100,8.45,8.34,1.86,1.07,1669.27万,1.40亿,15.51,1.7027,87.59亿,75.31亿,1000002152,False
127,002440,闰土股份,SZ,11.87,1.37,46.39,0.160,11.93,11.65,2.48,0.59,2351.67万,2.77亿,14.82,1.4047,133.42亿,112.33亿,1000008334,False
128,002015,协鑫能科,SZ,18.42,3.48,46.34,0.620,18.82,17.51,12.57,1.47,2.04亿,37.57亿,9.81,2.4235,299.02亿,299.02亿,1000002010,False
129,688696,极米科技,SH,94.92,4.34,46.33,3.950,95.66,90.01,1.82,1.88,127.76万,1.20亿,11.58,2.1995,66.46亿,66.46亿,1002237326,False
130,300801,泰和科技,SZ,26.64,0.99,46.33,0.260,26.78,26.18,2.59,0.67,354.02万,9402.36万,16.39,2.3193,58.19亿,36.36亿,1000602814,False
131,600487,亨通光电,SH,53.14,1.94,46.32,1.010,53.44,50.89,5.84,0.80,1.43亿,75.05亿,13.79,4.2585,1310.64亿,1299.37亿,1000001139,False
132,301132,满坤科技,SZ,42.76,2.52,46.27,1.050,43.19,41.39,8.39,1.25,794.88万,3.37亿,15.51,3.4871,63.32亿,40.51亿,1002649280,False
133,301393,昊帆生物,SZ,58.63,-1.63,46.23,-0.970,59.81,58.20,7.56,0.66,318.43万,1.87亿,15.95,2.7118,63.32亿,24.69亿,1002882434,False
134,000506,招金黄金,SZ,17.38,-0.63,46.22,-0.110,17.58,16.73,4.43,0.74,4110.12万,7.08亿,21.54,18.1604,161.46亿,161.41亿,1000004072,False
