序号,代码,名称,市场代码简称,最新价(元) 2026.04.15,涨跌幅(%) 2026.04.15,市盈率(TTM)(倍) 2026.04.15,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.15,最高价(元) 2026.04.15,最低价(元) 2026.04.15,换手率(%) 2026.04.15,量比 2026.04.15,成交量(股) 2026.04.15,成交额(元) 2026.04.15,市盈率(动)(倍) 2026.04.15,市净率(倍) 2026.04.15,总市值(元) 2026.04.15,流通市值(元) 2026.04.15,CHOICE_INNER_CODE,IN_OPTIONAL
75,300850,新强联,SZ,42.74,-0.21,21.63,1151.44|2025年报,-,8.18亿|2025年报,6.64亿|2025三季报,4.00亿|2025半年报,1.70亿|2025一季报,6537.77万|2024年报,-,8.43亿|2025年报,6.85亿|2025三季报,4.12亿|2025半年报,1.76亿|2025一季报,8570.39万|2024年报,-0.090,43.87,42.30,5.54,1.00,1666.69万,7.17亿,5.41,2.5284,176.98亿,128.56亿,1001838970,False
76,600787,中储股份,SH,5.39,-0.55,21.44,35.37|2025年报,-,5.46亿|2025年报,4.44亿|2025三季报,4.15亿|2025半年报,6441.14万|2025一季报,4.03亿|2024年报,-,5.73亿|2025年报,4.84亿|2025三季报,4.41亿|2025半年报,7880.54万|2025一季报,4.86亿|2024年报,-0.030,5.44,5.37,0.76,0.91,1647.66万,8887.29万,5.36,0.8407,116.97亿,116.97亿,1000002102,False
77,600817,宇通重工,SH,12.42,-0.64,21.41,36.25|2025年报,-,3.09亿|2025年报,1.87亿|2025三季报,1.19亿|2025半年报,5154.78万|2025一季报,2.27亿|2024年报,-,3.29亿|2025年报,1.98亿|2025三季报,1.22亿|2025半年报,5055.98万|2025一季报,2.55亿|2024年报,-0.080,12.57,12.25,1.23,0.70,650.56万,8067.79万,5.35,2.5895,66.24亿,65.73亿,1000000181,False
78,002284,亚太股份,SZ,14.18,0.78,21.38,130.18|2025年报,-,4.90亿|2025年报,3.28亿|2025三季报,2.01亿|2025半年报,1.00亿|2025一季报,2.13亿|2024年报,-,4.91亿|2025年报,3.29亿|2025三季报,2.01亿|2025半年报,1.01亿|2025一季报,2.14亿|2024年报,0.110,14.58,14.11,1.95,1.16,1423.69万,2.04亿,5.35,3.1153,104.80亿,103.64亿,1000007927,False
79,002946,新乳业,SZ,18.14,0.22,21.35,35.98|2025年报,-,7.31亿|2025年报,6.23亿|2025三季报,3.97亿|2025半年报,1.33亿|2025一季报,5.38亿|2024年报,-,7.54亿|2025年报,6.41亿|2025三季报,4.09亿|2025半年报,1.38亿|2025一季报,5.49亿|2024年报,0.040,18.19,17.95,0.40,0.56,342.35万,6186.27万,5.34,4.1091,156.13亿,154.32亿,1001117727,False
80,002249,大洋电机,SZ,9.36,-0.21,21.30,21.99|2025年报,-,10.83亿|2025年报,8.45亿|2025三季报,6.02亿|2025半年报,2.84亿|2025一季报,8.88亿|2024年报,-,11.56亿|2025年报,8.96亿|2025三季报,6.40亿|2025半年报,2.94亿|2025一季报,9.12亿|2024年报,-0.020,9.49,9.35,1.57,0.95,2921.24万,2.75亿,5.32,2.3376,230.49亿,173.97亿,1000007544,False
81,600388,龙净环保,SH,18.63,0.92,21.27,33.95|2025年报,-,11.12亿|2025年报,7.80亿|2025三季报,4.45亿|2025半年报,1.85亿|2025一季报,8.30亿|2024年报,-,11.08亿|2025年报,7.85亿|2025三季报,4.46亿|2025半年报,1.85亿|2025一季报,8.23亿|2024年报,0.170,18.97,18.41,1.47,0.82,1868.34万,3.50亿,5.32,2.1558,236.61亿,236.61亿,1000008762,False
82,600196,复星医药,SH,26.80,1.28,21.23,21.69|2025年报,-,33.71亿|2025年报,25.23亿|2025三季报,17.02亿|2025半年报,7.65亿|2025一季报,27.70亿|2024年报,-,42.48亿|2025年报,30.56亿|2025三季报,21.00亿|2025半年报,9.42亿|2025一季报,35.12亿|2024年报,0.340,27.09,26.55,1.46,1.84,3098.35万,8.30亿,5.31,1.4683,715.68亿,567.75亿,1000000429,False
83,002392,北京利尔,SZ,7.15,-1.65,21.23,25.86|2025年报,-,4.01亿|2025年报,3.48亿|2025三季报,2.18亿|2025半年报,1.26亿|2025一季报,3.19亿|2024年报,-,4.08亿|2025年报,3.52亿|2025三季报,2.19亿|2025半年报,1.26亿|2025一季报,3.33亿|2024年报,-0.120,7.34,7.13,1.03,0.73,1176.23万,8495.55万,5.31,1.4610,85.12亿,81.79亿,1000007859,False
84,603993,洛阳钼业,SH,19.97,2.10,21.01,50.30|2025年报,-,203.39亿|2025年报,142.80亿|2025三季报,86.71亿|2025半年报,39.46亿|2025一季报,135.32亿|2024年报,-,240.27亿|2025年报,164.88亿|2025三季报,98.43亿|2025半年报,44.10亿|2025一季报,154.59亿|2024年报,0.410,20.60,19.88,2.06,1.30,3.60亿,72.96亿,5.25,5.1828,4272.44亿,3486.93亿,1000011995,False
85,300695,兆丰股份,SZ,71.64,-1.81,20.90,150.90|2025年报,-,3.50亿|2025年报,3.03亿|2025三季报,7107.21万|2025半年报,3146.29万|2025一季报,1.40亿|2024年报,-,3.52亿|2025年报,3.04亿|2025三季报,7299.55万|2025半年报,3237.38万|2025一季报,1.32亿|2024年报,-1.320,73.96,71.41,1.12,0.81,114.03万,8286.01万,5.23,2.5292,73.26亿,73.26亿,1000576682,False
86,002379,宏桥控股,SZ,28.27,-2.85,20.62,25996.02|2025年报,-,178.64亿|2025年报,-1.70亿|2025三季报,-1.18亿|2025半年报,-5589.86万|2025一季报,-6898.18万|2024年报,-,187.56亿|2025年报,-1.70亿|2025三季报,-1.18亿|2025半年报,-5589.86万|2025一季报,-6898.18万|2024年报,-0.830,29.23,28.10,1.26,0.86,1434.70万,4.07亿,5.16,3.3770,3683.90亿,321.25亿,1000008036,False
87,300274,阳光电源,SZ,133.89,-3.99,20.62,21.97|2025年报,-,134.61亿|2025年报,118.81亿|2025三季报,77.35亿|2025半年报,38.26亿|2025一季报,110.36亿|2024年报,-,135.33亿|2025年报,119.54亿|2025三季报,78.30亿|2025半年报,37.93亿|2025一季报,112.64亿|2024年报,-5.570,139.34,133.05,5.68,1.04,9030.80万,122.53亿,5.16,5.9553,2775.82亿,2128.87亿,1000008290,False
88,002961,瑞达期货,SZ,23.10,0.92,20.14,42.95|2025年报,-,5.47亿|2025年报,3.86亿|2025三季报,2.28亿|2025半年报,8105.71万|2025一季报,3.83亿|2024年报,-,5.49亿|2025年报,3.88亿|2025三季报,2.29亿|2025半年报,8148.39万|2025一季报,3.84亿|2024年报,0.210,23.40,22.82,2.24,1.10,1065.96万,2.47亿,5.02,2.8493,109.80亿,109.80亿,1000472476,False
89,002772,众兴菌业,SZ,17.93,6.22,20.06,161.63|2025年报,-,3.35亿|2025年报,2.04亿|2025三季报,6901.99万|2025半年报,4820.02万|2025一季报,1.28亿|2024年报,-,3.35亿|2025年报,2.04亿|2025三季报,6807.40万|2025半年报,4789.08万|2025一季报,1.27亿|2024年报,1.050,17.98,16.51,4.68,1.45,1739.63万,3.05亿,5.01,1.9366,67.19亿,66.63亿,1000317648,False
90,000100,TCL科技,SZ,4.35,-0.68,20.03,188.78|2025年报,-,45.17亿|2025年报,30.47亿|2025三季报,18.84亿|2025半年报,10.13亿|2025一季报,15.64亿|2024年报,-,2.14亿|2025年报,4.83亿|2025三季报,3168.30万|2025半年报,2.08亿|2025一季报,-41.56亿|2024年报,-0.030,4.41,4.34,1.42,0.81,2.71亿,11.84亿,5.01,1.4729,904.84亿,832.24亿,1000002254,False
91,002801,微光股份,SZ,31.77,-0.22,20.02,65.22|2025年报,-,3.64亿|2025年报,2.91亿|2025三季报,1.72亿|2025半年报,8694.68万|2025一季报,2.21亿|2024年报,-,3.64亿|2025年报,2.91亿|2025三季报,1.72亿|2025半年报,8694.68万|2025一季报,2.21亿|2024年报,-0.070,32.27,31.60,1.16,0.82,134.03万,4274.35万,5.00,3.8116,72.95亿,36.79亿,1000303921,False
92,002592,ST八菱,SZ,8.18,-0.12,19.82,67.06|2025年报,-,1.17亿|2025年报,9342.49万|2025三季报,5677.56万|2025半年报,4693.29万|2025一季报,6998.16万|2024年报,-,1.17亿|2025年报,9342.49万|2025三季报,5677.56万|2025半年报,4693.29万|2025一季报,6998.16万|2024年报,-0.010,8.27,8.15,1.40,0.47,367.27万,3006.21万,4.96,2.4738,23.18亿,21.49亿,1000009309,False
93,601198,东兴证券,SH,12.87,-1.61,19.79,36.10|2025年报,-,21.02亿|2025年报,15.99亿|2025三季报,8.19亿|2025半年报,3.80亿|2025一季报,15.44亿|2024年报,-,21.03亿|2025年报,16.00亿|2025三季报,8.20亿|2025半年报,3.80亿|2025一季报,15.51亿|2024年报,-0.210,13.10,12.87,0.55,0.78,1769.86万,2.29亿,4.95,1.3757,416.02亿,416.02亿,1000304608,False
94,000807,云铝股份,SZ,34.46,-3.20,19.74,37.24|2025年报,-,60.55亿|2025年报,43.98亿|2025三季报,27.68亿|2025半年报,9.74亿|2025一季报,44.12亿|2024年报,-,73.48亿|2025年报,52.20亿|2025三季报,31.67亿|2025半年报,11.14亿|2025一季报,50.99亿|2024年报,-1.140,35.55,34.30,1.33,0.77,4629.07万,16.10亿,4.93,3.7308,1195.06亿,1195.05亿,1000000865,False
