序号,代码,名称,市场代码简称,最新价(元) 2026.04.15,涨跌幅(%) 2026.04.15,市盈率(TTM)(倍) 2026.04.15,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.15,最高价(元) 2026.04.15,最低价(元) 2026.04.15,换手率(%) 2026.04.15,量比 2026.04.15,成交量(股) 2026.04.15,成交额(元) 2026.04.15,市盈率(动)(倍) 2026.04.15,市净率(倍) 2026.04.15,总市值(元) 2026.04.15,流通市值(元) 2026.04.15,CHOICE_INNER_CODE,IN_OPTIONAL
157,000791,甘肃能源,SZ,8.02,-1.60,12.68,24.77|2025年报,-,20.51亿|2025年报,15.82亿|2025三季报,8.25亿|2025半年报,4.80亿|2025一季报,16.44亿|2024年报,-,29.84亿|2025年报,22.27亿|2025三季报,11.82亿|2025半年报,7.03亿|2025一季报,22.93亿|2024年报,-0.130,8.13,7.82,4.52,1.43,8749.84万,7.00亿,3.17,1.7286,260.16亿,155.24亿,1000000515,False
158,000987,越秀资本,SZ,8.79,-0.23,12.53,53.42|2025年报,-,35.19亿|2025年报,30.10亿|2025三季报,15.58亿|2025半年报,6.57亿|2025一季报,22.94亿|2024年报,-,45.69亿|2025年报,38.22亿|2025三季报,20.00亿|2025半年报,8.49亿|2025一季报,27.34亿|2024年报,-0.020,8.88,8.77,0.85,0.61,4278.43万,3.77亿,3.13,1.3769,441.01亿,440.67亿,1000009331,False
159,000166,申万宏源,SZ,4.75,-0.42,12.51,82.46|2025年报,-,95.07亿|2025年报,80.16亿|2025三季报,42.84亿|2025半年报,19.77亿|2025一季报,52.11亿|2024年报,-,105.27亿|2025年报,87.93亿|2025三季报,48.03亿|2025半年报,22.47亿|2025一季报,62.51亿|2024年报,-0.020,4.79,4.74,0.24,0.59,5412.16万,2.57亿,3.13,1.0658,1189.40亿,1070.44亿,1000420071,False
160,600282,南钢股份,SH,5.65,-0.35,12.15,26.83|2025年报,-,28.67亿|2025年报,21.76亿|2025三季报,14.63亿|2025半年报,5.78亿|2025一季报,22.61亿|2024年报,-,27.58亿|2025年报,20.89亿|2025三季报,14.03亿|2025半年报,5.64亿|2025一季报,21.92亿|2024年报,-0.020,5.70,5.56,0.48,0.77,2928.44万,1.65亿,3.04,1.2568,348.33亿,348.33亿,1000001995,False
161,600030,中信证券,SH,26.01,-0.69,11.42,38.58|2025年报,-,300.76亿|2025年报,231.59亿|2025三季报,137.19亿|2025半年报,65.45亿|2025一季报,217.04亿|2024年报,-,310.07亿|2025年报,239.16亿|2025三季报,141.46亿|2025半年报,67.62亿|2025一季报,225.89亿|2024年报,-0.180,26.39,25.97,0.91,0.53,1.11亿,28.92亿,3.20,1.1522,3854.82亿,3167.12亿,1000002450,False
162,601881,中国银河,SH,12.99,-0.61,11.35,24.81|2025年报,-,125.20亿|2025年报,109.68亿|2025三季报,64.88亿|2025半年报,30.16亿|2025一季报,100.31亿|2024年报,-,125.20亿|2025年报,109.68亿|2025三季报,64.88亿|2025半年报,30.16亿|2025一季报,100.31亿|2024年报,-0.080,13.15,12.98,0.32,0.55,2336.36万,3.05亿,2.84,1.2046,1420.38亿,940.92亿,1000350709,False
163,000776,广发证券,SZ,19.86,1.17,11.34,42.18|2025年报,-,137.02亿|2025年报,109.34亿|2025三季报,64.70亿|2025半年报,27.57亿|2025一季报,96.37亿|2024年报,-,149.52亿|2025年报,118.78亿|2025三季报,70.06亿|2025半年报,29.70亿|2025一季报,105.45亿|2024年报,0.230,20.18,19.61,1.45,1.16,8537.65万,17.01亿,2.84,1.1999,1554.01亿,1172.54亿,1000000404,False
164,600668,尖峰集团,SH,11.28,3.20,11.31,281.43|2025年报,-,4.12亿|2025年报,6.50亿|2025三季报,6.18亿|2025半年报,5.82亿|2025一季报,1.08亿|2024年报,-,3.95亿|2025年报,6.58亿|2025三季报,6.28亿|2025半年报,5.87亿|2025一季报,1.33亿|2024年报,0.350,11.39,10.93,3.17,1.84,1308.55万,1.47亿,2.83,0.8460,46.58亿,46.58亿,1000002220,False
165,603558,健盛集团,SH,13.32,-1.48,11.27,24.62|2025年报,-,4.05亿|2025年报,3.09亿|2025三季报,1.42亿|2025半年报,6012.23万|2025一季报,3.25亿|2024年报,-,4.05亿|2025年报,3.09亿|2025三季报,1.42亿|2025半年报,6012.23万|2025一季报,3.25亿|2024年报,-0.200,13.58,13.29,1.58,0.58,540.36万,7229.77万,2.82,1.9458,45.64亿,45.64亿,1000310540,False
166,601607,上海医药,SH,17.25,1.35,11.17,25.74|2025年报,-,57.25亿|2025年报,51.47亿|2025三季报,44.59亿|2025半年报,13.33亿|2025一季报,45.53亿|2024年报,-,69.74亿|2025年报,59.86亿|2025三季报,49.95亿|2025半年报,16.40亿|2025一季报,58.70亿|2024年报,0.230,17.28,17.04,0.51,1.32,1428.29万,2.45亿,2.79,0.8429,639.69亿,481.14亿,1000004135,False
167,601083,锦江航运,SH,12.90,0.31,11.13,47.00|2025年报,-,15.00亿|2025年报,11.85亿|2025三季报,7.94亿|2025半年报,3.57亿|2025一季报,10.21亿|2024年报,-,15.12亿|2025年报,11.94亿|2025三季报,8.00亿|2025半年报,3.59亿|2025一季报,10.36亿|2024年报,0.040,12.96,12.74,4.40,0.56,854.95万,1.10亿,2.78,1.7719,166.94亿,25.04亿,1003354127,False
168,600098,广州发展,SH,7.15,-0.42,10.88,33.93|2025年报,-,23.19亿|2025年报,21.59亿|2025三季报,16.35亿|2025半年报,4.52亿|2025一季报,17.32亿|2024年报,-,24.80亿|2025年报,22.67亿|2025三季报,16.79亿|2025半年报,4.77亿|2025一季报,19.55亿|2024年报,-0.030,7.24,7.14,0.66,0.89,2297.84万,1.65亿,2.70,0.9218,250.67亿,250.67亿,1000002322,False
169,601211,国泰海通,SH,17.05,-0.53,10.81,113.52|2025年报,-,278.09亿|2025年报,220.74亿|2025三季报,157.37亿|2025半年报,122.42亿|2025一季报,130.24亿|2024年报,-,291.70亿|2025年报,230.59亿|2025三季报,163.21亿|2025半年报,125.09亿|2025一季报,135.49亿|2024年报,-0.090,17.20,17.04,0.45,0.50,6091.34万,10.42亿,2.70,0.9380,3005.73亿,2301.22亿,1000304595,False
170,688332,中科蓝讯,SH,126.31,-0.21,10.76,371.66|2025年报,-,14.15亿|2025年报,2.11亿|2025三季报,1.31亿|2025半年报,4489.02万|2025一季报,3.00亿|2024年报,-,14.15亿|2025年报,2.11亿|2025三季报,1.31亿|2025半年报,4479.06万|2025一季报,3.00亿|2024年报,-0.260,129.27,126.00,1.77,0.82,213.58万,2.71亿,2.69,2.8821,152.33亿,152.33亿,1002629418,False
171,601991,大唐发电,SH,3.89,0.52,9.75,63.91|2025年报,-,73.86亿|2025年报,67.12亿|2025三季报,45.79亿|2025半年报,22.38亿|2025一季报,45.06亿|2024年报,-,100.23亿|2025年报,94.21亿|2025三季报,60.68亿|2025半年报,27.45亿|2025一季报,68.58亿|2024年报,0.020,3.91,3.84,1.03,0.95,1.27亿,4.94亿,2.44,2.1145,719.91亿,482.21亿,1000002436,False
172,600011,华能国际,SH,7.00,0.72,7.63,42.17|2025年报,-,144.10亿|2025年报,148.41亿|2025三季报,92.62亿|2025半年报,49.73亿|2025一季报,101.35亿|2024年报,-,195.05亿|2025年报,194.36亿|2025三季报,123.07亿|2025半年报,69.59亿|2025一季报,141.10亿|2024年报,0.050,7.04,6.90,0.71,0.99,7824.72万,5.46亿,1.91,1.6924,1098.87亿,769.84亿,1000002250,False
173,601628,中国人寿,SH,37.70,-0.19,6.92,44.09|2025年报,-,1540.78亿|2025年报,1678.04亿|2025三季报,409.31亿|2025半年报,288.02亿|2025一季报,1069.35亿|2024年报,-,1565.52亿|2025年报,1697.80亿|2025三季报,419.56亿|2025半年报,292.73亿|2025一季报,1089.40亿|2024年报,-0.070,38.31,37.61,0.08,0.77,1648.34万,6.25亿,1.73,1.7903,1.07万亿,7850.47亿,1000002664,False
174,002948,青岛银行,SZ,5.21,0.58,5.85,21.66|2025年报,-,51.88亿|2025年报,39.92亿|2025三季报,30.65亿|2025半年报,12.58亿|2025一季报,42.64亿|2024年报,-,53.57亿|2025年报,41.25亿|2025三季报,31.52亿|2025半年报,13.02亿|2025一季报,44.05亿|2024年报,0.030,5.23,5.16,0.85,0.60,2653.44万,1.38亿,1.46,0.7438,303.24亿,162.16亿,1000863715,False
175,601336,新华保险,SH,61.66,-0.80,5.30,38.34|2025年报,-,362.84亿|2025年报,328.57亿|2025三季报,147.99亿|2025半年报,58.82亿|2025一季报,262.29亿|2024年报,-,362.89亿|2025年报,328.61亿|2025三季报,148.01亿|2025半年报,58.83亿|2025一季报,262.33亿|2024年报,-0.500,62.70,61.40,0.81,0.80,1689.66万,10.49亿,1.33,1.7244,1923.51亿,1285.88亿,1000002881,False
176,600841,动力新科,SH,9.11,-2.15,4.40,243.67|2025年报,-,28.72亿|2025年报,-3.50亿|2025三季报,-3.01亿|2025半年报,-2.10亿|2025一季报,-19.99亿|2024年报,-,28.72亿|2025年报,-3.50亿|2025三季报,-3.01亿|2025半年报,-2.10亿|2025一季报,-19.99亿|2024年报,-0.200,9.58,9.08,2.93,0.76,3055.38万,2.84亿,1.10,1.9813,126.43亿,95.02亿,1000004123,False
177,000736,*ST中地,SZ,5.23,-3.51,-0.73,66.99|2025年报,-,-17.10亿|2025年报,-16.60亿|2025三季报,-11.80亿|2025半年报,-4.93亿|2025一季报,-51.79亿|2024年报,-,-19.53亿|2025年报,-19.01亿|2025三季报,-13.99亿|2025半年报,-6.38亿|2025一季报,-63.96亿|2024年报,-0.190,5.41,5.15,2.45,2.99,1828.60万,9581.71万,-0.57,3.2335,39.07亿,39.07亿,1000009116,False
178,000761,本钢板材,SZ,3.00,-2.28,-3.13,21.74|2025年报,-,-39.42亿|2025年报,-22.16亿|2025三季报,-13.99亿|2025半年报,-7.66亿|2025一季报,-50.37亿|2024年报,-,-38.55亿|2025年报,-21.64亿|2025三季报,-13.67亿|2025半年报,-7.47亿|2025一季报,-49.60亿|2024年报,-0.070,3.08,2.98,0.38,0.76,1391.58万,4206.13万,-0.78,1.7637,123.25亿,111.25亿,1000000304,False
179,000898,鞍钢股份,SZ,2.33,-0.43,-5.37,42.88|2025年报,-,-40.68亿|2025年报,-20.40亿|2025三季报,-11.44亿|2025半年报,-5.54亿|2025一季报,-71.22亿|2024年报,-,-39.93亿|2025年报,-19.85亿|2025三季报,-11.14亿|2025半年报,-5.41亿|2025一季报,-70.94亿|2024年报,-0.010,2.36,2.32,0.37,0.75,2910.46万,6808.64万,-1.34,0.4975,218.30亿,185.41亿,1000009234,False
180,300268,*ST佳沃,SZ,14.23,0.42,-5.80,53.78|2025年报,-,-4.27亿|2025年报,-4.23亿|2025三季报,-4.19亿|2025半年报,-1.81亿|2025一季报,-9.24亿|2024年报,-,-4.80亿|2025年报,-4.74亿|2025三季报,-4.72亿|2025半年报,-2.01亿|2025一季报,-10.75亿|2024年报,0.060,14.45,14.12,0.85,1.12,113.99万,1629.72万,-1.45,-2.4181,24.79亿,19.03亿,1000009881,False
181,002742,*ST三圣,SZ,4.64,-0.85,-7.56,35.45|2025年报,-,-4.20亿|2025年报,-1.78亿|2025三季报,-1.31亿|2025半年报,-8237.76万|2025一季报,-6.50亿|2024年报,-,-4.59亿|2025年报,-1.79亿|2025三季报,-1.31亿|2025半年报,-8475.48万|2025一季报,-6.50亿|2024年报,-0.040,4.70,4.60,0.67,0.75,352.63万,1640.91万,-1.89,18.8515,31.74亿,24.31亿,1000305971,False
182,002519,银河电子,SZ,8.45,5.23,-10.98,87.78|2025年报,-,-8367.52万|2025年报,-4015.63万|2025三季报,-2881.68万|2025半年报,-1628.55万|2025一季报,-6.85亿|2024年报,-,-8435.11万|2025年报,-4081.59万|2025三季报,-2940.03万|2025半年报,-1661.85万|2025一季报,-6.88亿|2024年报,0.420,8.63,7.98,14.46,2.37,1.62亿,13.47亿,-28.44,4.2950,95.18亿,94.44亿,1000007999,False
183,000553,安道麦A,SZ,6.20,-2.05,-13.81,63.98|2025年报,-,-10.46亿|2025年报,-4.23亿|2025三季报,-8035.20万|2025半年报,1.51亿|2025一季报,-29.03亿|2024年报,-,-10.46亿|2025年报,-4.23亿|2025三季报,-8035.20万|2025半年报,1.51亿|2025一季报,-29.03亿|2024年报,-0.130,6.39,6.18,0.39,0.62,852.14万,5306.23万,-3.45,0.8219,144.45亿,134.98亿,1000002318,False
184,002759,天际股份,SZ,36.21,-6.96,-14.37,106.04|2025年报,-,8218.13万|2025年报,-1.01亿|2025三季报,-5236.08万|2025半年报,-2187.00万|2025一季报,-13.61亿|2024年报,-,1.50亿|2025年报,-1.14亿|2025三季报,-5348.07万|2025半年报,-1813.39万|2025一季报,-14.42亿|2024年报,-2.710,39.00,36.00,17.11,1.48,8571.27万,31.78亿,55.23,5.5234,181.55亿,181.39亿,1000313049,False
185,600590,泰豪科技,SH,14.22,-5.77,-16.35,106.11|2025年报,-,6053.71万|2025年报,4901.14万|2025三季报,1.05亿|2025半年报,3473.76万|2025一季报,-9.91亿|2024年报,-,1.01亿|2025年报,9070.77万|2025三季报,1.30亿|2025半年报,6197.50万|2025一季报,-9.41亿|2024年报,-0.870,15.30,14.15,8.98,1.07,7573.94万,11.12亿,50.08,3.7921,121.28亿,119.96亿,1000000583,False
186,000566,海南海药,SZ,5.47,2.05,-16.50,71.81|2025年报,-,-4.30亿|2025年报,-2.42亿|2025三季报,-1.58亿|2025半年报,-6836.55万|2025一季报,-15.25亿|2024年报,-,-4.56亿|2025年报,-2.63亿|2025三季报,-1.72亿|2025半年报,-7628.49万|2025一季报,-15.95亿|2024年报,0.110,5.54,5.36,3.15,1.13,4080.32万,2.22亿,-4.13,86.7822,70.97亿,70.93亿,1000009004,False
187,688373,盟科药业-U,SH,6.36,2.09,-17.27,45.18|2025年报,-,-2.42亿|2025年报,-1.94亿|2025三季报,-1.39亿|2025半年报,-6163.25万|2025一季报,-4.41亿|2024年报,-,-2.42亿|2025年报,-1.94亿|2025三季报,-1.39亿|2025半年报,-6163.25万|2025一季报,-4.41亿|2024年报,0.130,6.40,6.20,2.86,1.60,1734.59万,1.10亿,-4.32,20.0026,41.74亿,38.52亿,1002676043,False
188,002865,钧达股份,SZ,72.96,2.56,-17.53,113.38|2026一季报,1416.36万|2026一季报,-14.16亿|2025年报,-4.19亿|2025三季报,-2.64亿|2025半年报,-1.06亿|2025一季报,-,1348.17万|2026一季报,-14.16亿|2025年报,-4.19亿|2025三季报,-2.64亿|2025半年报,-1.06亿|2025一季报,-,1.820,76.96,72.08,12.39,1.60,2785.17万,20.64亿,400.85,5.6370,227.10亿,164.06亿,1000326748,False
189,300385,ST雪浪,SZ,13.72,0.00,-19.70,50.02|2025年报,-,-2.32亿|2025年报,-1.58亿|2025三季报,-1.00亿|2025半年报,-4680.36万|2025一季报,-4.64亿|2024年报,-,-2.35亿|2025年报,-1.60亿|2025三季报,-1.02亿|2025半年报,-4772.87万|2025一季报,-4.70亿|2024年报,0.000,14.57,13.54,14.13,1.01,4107.95万,5.74亿,-4.92,146.0919,45.71亿,39.88亿,1000012314,False
190,603123,翠微股份,SH,12.60,-3.00,-20.94,30.01|2025年报,-,-4.81亿|2025年报,-3.11亿|2025三季报,-2.03亿|2025半年报,-8192.90万|2025一季报,-6.87亿|2024年报,-,-4.86亿|2025年报,-3.16亿|2025三季报,-2.07亿|2025半年报,-8433.11万|2025一季报,-6.98亿|2024年报,-0.390,12.99,12.53,6.15,0.47,4011.78万,5.09亿,-5.23,6.0646,100.64亿,82.19亿,1000008005,False
191,300983,尤安设计,SZ,29.08,0.38,-25.85,61.16|2025年报,-,-8556.59万|2025年报,-1784.28万|2025三季报,-1176.31万|2025半年报,-28.83万|2025一季报,-2.20亿|2024年报,-,-8593.55万|2025年报,-1838.85万|2025三季报,-1190.20万|2025半年报,-45.25万|2025一季报,-2.21亿|2024年报,0.110,29.40,28.66,0.60,0.66,64.15万,1856.14万,-14.68,1.8163,50.25亿,31.05亿,1002296923,False
192,603007,*ST花王,SH,6.74,-2.46,-26.14,71.96|2025年报,-,-2.28亿|2025年报,-3899.29万|2025三季报,-3625.65万|2025半年报,-1048.98万|2025一季报,-8.13亿|2024年报,-,-2.13亿|2025年报,-3628.08万|2025三季报,-3635.02万|2025半年报,-1054.01万|2025一季报,-8.32亿|2024年报,-0.170,6.91,6.70,2.69,1.32,1868.48万,1.27亿,-6.54,19.2371,59.63亿,46.85亿,1000320586,False
193,600719,大连热电,SH,6.66,-1.33,-28.45,35.10|2025年报,-,-9471.42万|2025年报,-1.13亿|2025三季报,-4068.91万|2025半年报,5975.19万|2025一季报,-1.46亿|2024年报,-,-9471.42万|2025年报,-1.13亿|2025三季报,-4068.91万|2025半年报,5975.19万|2025一季报,-1.46亿|2024年报,-0.090,6.80,6.65,2.06,0.61,835.02万,5580.07万,-7.11,8.7823,26.95亿,26.95亿,1000002076,False
194,300552,万集科技,SZ,26.06,-2.18,-30.67,53.10|2025年报,-,-1.81亿|2025年报,-1.16亿|2025三季报,-1.00亿|2025半年报,-5124.68万|2025一季报,-3.86亿|2024年报,-,-1.74亿|2025年报,-1.12亿|2025三季报,-9856.60万|2025半年报,-4885.32万|2025一季报,-3.85亿|2024年报,-0.580,26.80,25.98,3.58,0.89,483.40万,1.28亿,-7.67,3.1521,55.54亿,35.20亿,1000309218,False
195,000430,ST张家界,SZ,8.08,3.72,-30.84,1079.33|2026一季报,3.06亿|2026一季报,-5.49亿|2025年报,-2239.65万|2025三季报,-3327.14万|2025半年报,-3124.75万|2025一季报,-,3.06亿|2026一季报,-5.49亿|2025年报,-2239.65万|2025三季报,-3327.14万|2025半年报,-3124.75万|2025一季报,-,0.290,8.18,7.71,6.20,3.77,2296.68万,1.85亿,5.34,3.5998,65.42亿,29.94亿,1000004062,False
196,300323,华灿光电,SZ,9.88,-1.00,-36.60,28.32|2025年报,-,-4.38亿|2025年报,-1.96亿|2025三季报,-1.15亿|2025半年报,-9763.83万|2025一季报,-6.11亿|2024年报,-,-4.38亿|2025年报,-1.96亿|2025三季报,-1.15亿|2025半年报,-9763.83万|2025一季报,-6.11亿|2024年报,-0.100,10.15,9.83,4.16,0.79,4945.16万,4.95亿,-9.15,2.4426,160.35亿,117.34亿,1000009093,False
197,002527,新时达,SZ,13.34,-4.24,-36.65,101.91|2025年报,-,550.77万|2025年报,434.62万|2025三季报,186.54万|2025半年报,-813.18万|2025一季报,-2.88亿|2024年报,-,562.15万|2025年报,446.26万|2025三季报,194.20万|2025半年报,-809.78万|2025一季报,-2.88亿|2024年报,-0.590,13.95,13.30,2.74,2.27,1448.24万,1.96亿,401.49,7.0624,88.45亿,70.55亿,1000008372,False
198,300410,正业科技,SZ,8.98,1.70,-38.20,116.46|2025年报,-,3677.58万|2025年报,2304.12万|2025三季报,1624.71万|2025半年报,950.79万|2025一季报,-2.23亿|2024年报,-,3316.78万|2025年报,2128.80万|2025三季报,1515.32万|2025半年报,906.78万|2025一季报,-2.57亿|2024年报,0.150,9.15,8.74,7.03,1.63,2580.84万,2.31亿,22.41,12.5352,32.97亿,32.97亿,1000314436,False
199,002168,*ST惠程,SZ,4.20,0.96,-41.68,47.15|2025年报,-,-7901.84万|2025年报,-4321.67万|2025三季报,-3166.66万|2025半年报,-1684.78万|2025一季报,-1.50亿|2024年报,-,-6159.08万|2025年报,-2956.46万|2025三季报,-2527.19万|2025半年报,-1427.84万|2025一季报,-1.52亿|2024年报,0.040,4.23,4.16,0.87,0.85,678.50万,2841.76万,-10.42,205.9715,32.93亿,32.93亿,1000006090,False
200,600203,福日电子,SH,11.45,-0.09,-41.70,87.38|2025年报,-,-4850.57万|2025年报,8736.24万|2025三季报,2208.44万|2025半年报,-4028.55万|2025一季报,-3.84亿|2024年报,-,-3885.84万|2025年报,1.00亿|2025三季报,3277.98万|2025半年报,-3470.01万|2025一季报,-3.97亿|2024年报,-0.010,11.68,11.40,2.89,1.26,1712.90万,1.98亿,-34.99,4.2412,67.90亿,67.90亿,1000000438,False
