序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,量比 2026.04.16,换手率(%) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,CHG<70>{2026-04-16},IN_OPTIONAL
121,002842,翔鹭钨业,SZ,33.85,6.85,2.16,26.28,2.170,34.85,30.98,7056.37万,23.59亿,19.27,9.1750,110.75亿,90.87亿,1000326764,6.85,False
122,300097,智云股份,SZ,10.50,6.82,2.34,17.28,0.670,10.81,9.35,4666.42万,4.62亿,-2.75,14.1044,30.30亿,28.35亿,1000007974,6.82,False
123,300276,三丰智能,SZ,7.36,6.82,4.56,6.47,0.470,7.48,6.95,6843.79万,5.01亿,68.03,5.2000,103.12亿,77.80亿,1000009275,6.82,False
124,300928,华安鑫创,SZ,30.63,6.72,3.67,6.33,1.930,32.20,29.48,339.01万,1.03亿,-10.50,2.2318,24.50亿,16.41亿,1001702919,6.72,False
125,301313,凡拓数创,SZ,33.43,6.70,1.90,6.66,2.100,34.10,31.32,502.68万,1.64亿,-8.97,4.8020,34.58亿,25.24亿,1002490921,6.70,False
126,920726,朱老六,BJ,19.10,6.70,3.76,12.90,1.200,20.00,17.54,721.35万,1.35亿,30.69,4.4069,19.42亿,10.68亿,1000361766,6.70,False
127,002826,易明医药,SZ,21.37,6.69,2.29,5.27,1.340,21.66,19.85,965.16万,2.01亿,12.46,5.0798,40.75亿,39.10亿,1000653867,6.69,False
128,300935,盈建科,SZ,32.64,6.63,2.12,5.18,2.030,33.47,30.35,312.21万,9983.44万,-8.24,3.4105,25.93亿,19.67亿,1000979191,6.63,False
129,688590,新致软件,SH,14.98,6.62,1.59,7.27,0.930,15.32,14.04,2046.48万,3.04亿,33.99,2.6886,42.17亿,42.17亿,1000576775,6.62,False
130,600676,交运股份,SH,8.06,6.61,3.53,3.17,0.500,8.30,7.51,3260.98万,2.61亿,-6.27,1.7161,82.90亿,82.90亿,1000002252,6.61,False
131,002798,帝欧水华,SZ,7.11,6.60,6.83,11.59,0.440,7.20,6.61,5557.64万,3.88亿,-6.92,1.8742,39.12亿,34.09亿,1000303920,6.60,False
132,688379,华光新材,SH,52.79,6.58,2.10,4.69,3.260,52.90,49.69,422.83万,2.18亿,7.94,3.6725,50.14亿,47.56亿,1000440970,6.58,False
133,002132,恒星科技,SZ,4.42,6.51,2.28,16.32,0.270,4.57,4.16,2.28亿,10.15亿,76.89,1.7810,61.95亿,61.86亿,1000006879,6.51,False
134,002633,申科股份,SZ,18.91,6.48,3.12,3.88,1.150,19.23,17.71,579.72万,1.08亿,137.43,6.6796,28.36亿,28.26亿,1000007907,6.48,False
135,002663,普邦股份,SZ,2.30,6.48,1.74,10.70,0.140,2.38,2.18,1.38亿,3.15亿,-25.38,1.6748,39.64亿,29.74亿,1000008019,6.48,False
136,920768,拾比佰,BJ,11.99,6.48,5.15,7.22,0.730,12.60,11.75,552.04万,6614.42万,6.16,1.8818,13.31亿,9.17亿,1000376210,6.48,False
137,300840,酷特智能,SZ,19.71,6.43,2.12,10.62,1.190,20.28,19.31,1880.40万,3.72亿,28.67,3.6999,47.30亿,34.90亿,1001716618,6.43,False
138,688382,益方生物-U,SH,22.63,6.39,1.94,5.55,1.360,23.08,20.87,3208.40万,7.15亿,-10.33,8.5202,130.88亿,130.88亿,1002611704,6.39,False
139,600490,鹏欣资源,SH,8.53,6.36,2.05,3.88,0.510,8.65,8.02,7729.72万,6.45亿,20.16,2.9739,188.76亿,169.97亿,1000001719,6.36,False
140,002511,中顺洁柔,SZ,8.82,6.27,2.40,3.16,0.520,8.84,8.32,3997.19万,3.46亿,8.90,2.0778,113.46亿,111.59亿,1000008052,6.27,False
141,603206,嘉环科技,SH,17.54,6.24,4.57,6.22,1.030,18.16,16.60,1897.49万,3.34亿,24.18,2.3597,53.53亿,53.53亿,1002686350,6.24,False
142,300221,银禧科技,SZ,10.96,6.20,1.86,6.61,0.640,11.05,10.26,3021.50万,3.24亿,11.72,3.5430,51.92亿,50.11亿,1000008176,6.20,False
143,688220,翱捷科技-U,SH,80.81,6.19,2.74,5.58,4.710,86.70,76.09,2060.58万,16.75亿,-21.65,6.1935,338.03亿,298.30亿,1002482748,6.19,False
144,688507,索辰科技,SH,92.84,6.19,2.65,6.04,5.410,94.10,87.88,297.43万,2.73亿,-27.23,2.8968,82.73亿,45.71亿,1003135029,6.19,False
145,301248,杰创智能,SZ,61.31,6.16,2.29,18.08,3.560,63.50,56.01,2031.34万,12.39亿,103.46,6.1691,94.24亿,68.87亿,1002469113,6.16,False
146,605088,冠盛股份,SH,36.42,6.12,3.12,3.85,2.100,36.68,34.25,768.89万,2.74亿,8.21,2.5702,73.83亿,72.74亿,1001030437,6.12,False
